Geography,2021,2022,2023,2024,2025
Alberta,"4,431,531","4,512,731","4,688,576","4,909,030","5,029,346"
"Census subdivisions with 5,000-plus population, Alberta","4,094,093","4,174,486","4,348,318","4,565,436","4,683,042"
"Calgary (CY), Alberta","1,356,293","1,395,672","1,479,763","1,573,009","1,612,834"
"Edmonton (CY), Alberta","1,050,945","1,074,178","1,127,183","1,197,771","1,238,295"
"Red Deer (CY), Alberta","104,361","105,176","108,928","113,145","115,409"
"Strathcona County (SM), Alberta","102,426","103,259","104,104","105,876","107,345"
"Lethbridge (CY), Alberta","102,097","103,978","107,042","111,776","113,671"
"Airdrie (CY), Alberta","77,079","80,168","83,850","88,692","92,544"
"Wood Buffalo (SM), Alberta","75,282","75,096","76,854","80,780","81,611"
"St. Albert (CY), Alberta","70,389","70,720","71,859","73,459","74,621"
"Grande Prairie (CY), Alberta","66,586","65,600","67,223","69,575","71,160"
"Medicine Hat (CY), Alberta","65,266","65,287","66,215","68,131","68,714"
"Rocky View County (MD), Alberta","42,378","43,731","45,102","46,706","50,260"
"Spruce Grove (CY), Alberta","39,068","40,005","41,032","42,794","44,575"
"Leduc (CY), Alberta","35,368","36,054","37,196","38,798","39,966"
"Cochrane (T), Alberta","33,295","34,720","36,327","38,100","39,397"
"Parkland County (MD), Alberta","33,151","33,312","33,484","33,897","34,286"
"Okotoks (T), Alberta","31,386","31,926","32,529","33,181","33,482"
"Fort Saskatchewan (CY), Alberta","28,567","28,994","29,303","29,900","30,575"
"Grande Prairie County No. 1 (MD), Alberta","24,550","24,731","25,020","25,514","25,883"
"Foothills County (MD), Alberta","23,851","24,122","24,568","25,212","25,789"
"Chestermere (CY), Alberta","23,005","24,345","26,280","28,997","31,671"
"Beaumont (CY), Alberta","21,688","22,288","23,261","24,742","26,305"
"Sturgeon County (MD), Alberta","20,733","20,902","20,935","21,130","21,144"
"Red Deer County (MD), Alberta","20,555","20,917","21,331","21,782","22,076"
"Lloydminster (Part) (CY), Alberta","20,423","20,447","20,722","21,159","21,267"
"Camrose (CY), Alberta","19,361","19,620","20,142","20,671","20,800"
"Stony Plain (T), Alberta","18,556","18,749","19,081","19,424","19,662"
"Canmore (T), Alberta","16,629","16,813","17,171","17,574","17,341"
"Sylvan Lake (T), Alberta","16,597","16,957","17,103","17,506","17,897"
"Cold Lake (CY), Alberta","16,345","16,363","16,935","17,734","17,798"
"Brooks (CY), Alberta","15,436","15,361","16,042","16,960","17,537"
"Leduc County (MD), Alberta","14,886","15,114","15,408","15,672","16,400"
