Geography,Projection scenario LG: low-growth 3,Projection scenario M1: medium-growth 3,Projection scenario M2: medium-growth 3,Projection scenario M3: medium-growth 3,Projection scenario M4: medium-growth 3,Projection scenario M5: medium-growth 3,Projection scenario M6: medium-growth 3,Projection scenario HG: high-growth 3,Projection scenario SA: slow-aging 3,Projection scenario FA: fast-aging 3
"John D'Or Prairie 215, Alberta",254,299,303,277,280,253,322,328,321,264
"Forestburg, Alberta",504,570,574,540,544,515,611,632,608,531
"Special Area No. 3, Alberta",513,563,563,533,541,520,616,640,596,544
"Spirit River, Alberta",572,623,624,591,596,577,671,683,655,605
"White Fish Lake 128, Alberta",580,649,651,625,628,590,687,719,686,604
"Killam, Alberta",584,649,652,627,627,594,693,712,679,617
"Special Area No. 4, Alberta",604,673,686,648,652,619,737,765,741,623
"Hay Lake 209, Alberta",604,699,712,671,676,631,772,820,803,609
"Coronation, Alberta",678,765,769,736,739,696,825,854,827,704
"Alexis 133, Alberta",687,766,781,735,735,700,836,861,838,702
"Thorsby, Alberta",707,774,776,737,743,704,834,846,826,722
"Sturgeon Lake 154, Alberta",712,783,797,753,755,721,857,881,852,734
"Utikoomak Lake 155, Alberta",737,821,830,793,793,761,889,932,894,760
"Viking, Alberta",787,909,908,859,868,817,979,"1,034",987,834
"Duchess, Alberta",815,899,899,851,860,838,965,"1,008",953,867
"Milk River, Alberta",872,980,996,943,949,897,"1,062","1,112","1,076",911
"Oyen, Alberta",899,989,994,939,942,910,"1,068","1,089","1,048",940
"Legal, Alberta",908,"1,001","1,015",958,963,908,"1,079","1,102","1,072",940
"Manning, Alberta",932,"1,032","1,036",976,983,922,"1,100","1,139","1,097",967
"Special Area No. 2, Alberta",940,"1,064","1,077","1,018","1,019",970,"1,153","1,215","1,177",962
"Piikani 147, Alberta",970,"1,065","1,080","1,021","1,030",990,"1,162","1,197","1,156","1,003"
"Peace No. 135, Alberta",974,"1,067","1,079","1,029","1,029",980,"1,145","1,164","1,120","1,020"
"Castor, Alberta",977,"1,092","1,116","1,055","1,054","1,002","1,182","1,244","1,214",995
"Bon Accord, Alberta","1,003","1,104","1,122","1,060","1,067",999,"1,195","1,232","1,190","1,039"
"Provost, Alberta","1,015","1,144","1,157","1,096","1,104","1,045","1,232","1,285","1,253","1,053"
"Wembley, Alberta","1,016","1,147","1,161","1,097","1,106","1,035","1,235","1,296","1,265","1,047"
"Starland County, Alberta","1,021","1,120","1,132","1,080","1,085","1,044","1,221","1,256","1,207","1,063"
"Alexander 134, Alberta","1,033","1,143","1,151","1,100","1,105","1,042","1,228","1,269","1,221","1,061"
"Irricana, Alberta","1,053","1,164","1,178","1,127","1,132","1,073","1,265","1,314","1,259","1,091"
"Boyle, Alberta","1,089","1,270","1,279","1,205","1,211","1,155","1,390","1,486","1,432","1,137"
"Falher, Alberta","1,101","1,240","1,261","1,193","1,201","1,133","1,362","1,422","1,374","1,141"
"Louis Bull 138B, Alberta","1,107","1,232","1,257","1,192","1,194","1,119","1,344","1,388","1,346","1,133"
"Kehewin 123, Alberta","1,107","1,216","1,237","1,175","1,175","1,114","1,318","1,357","1,310","1,132"
"Bowden, Alberta","1,127","1,246","1,265","1,196","1,202","1,130","1,346","1,386","1,345","1,164"
"Onoway, Alberta","1,139","1,318","1,341","1,268","1,268","1,179","1,426","1,520","1,482","1,165"
"Improvement District No. 9 Banff, Alberta","1,139","1,235","1,242","1,175","1,178","1,150","1,312","1,342","1,245","1,236"
