CSDNAME,population_2021,population_2025,population_2050,pop_change_2021_2025,pop_change_2025_2050
Calgary,1356293,1612834,2908105,18.9148657406622,80.3102489158835
Edmonton,1050945,1238295,2285096,17.8268130111471,84.5356720329162
Red Deer,104361,115409,157462,10.5863301424862,36.4382327201518
Strathcona County,102426,107345,122928,4.80249155487864,14.5167450742932
Lethbridge,102097,113671,173655,11.3362782451982,52.7698357540622
Airdrie,77079,92544,186892,20.0638306153427,101.949343015214
Wood Buffalo,75282,81611,110908,8.40705613559682,35.8983470365514
St. Albert,70389,74621,93854,6.01230305871656,25.7742458557243
Grande Prairie,66586,71160,86240,6.8693118673595,21.1916807195053
Medicine Hat,65266,68714,79858,5.28299574050807,16.2179468521699
Rocky View County,42378,50260,91736,18.5992732077965,82.5228810187027
Spruce Grove,39068,44575,74778,14.0959352923108,67.7577117218172
Leduc,35368,39966,69023,13.0004523863379,72.7042986538558
Cochrane,33295,39397,77833,18.3270761375582,97.5607279742112
Parkland County,33151,34286,33939,3.42372779101686,-1.01207489937584
Okotoks,31386,33482,42628,6.67813674886892,27.3161698823248
Fort Saskatchewan,28567,30575,44155,7.02908950887388,44.4153720359771
Grande Prairie County No. 1,24550,25883,31181,5.42973523421589,20.4690337287022
Foothills County,23851,25789,31661,8.12544547398432,22.7693978052658
Chestermere,23005,31671,83570,37.6700717235384,163.869154747245
Beaumont,21688,26305,57063,21.288270011066,116.928340619654
Sturgeon County,20733,21144,19752,1.98234698307047,-6.58342792281498
Red Deer County,20555,22076,25224,7.39965945025541,14.2598296792897
Camrose,19361,20800,24753,7.43246733123289,19.0048076923077
Stony Plain,18556,19662,23156,5.96033627937055,17.7703183806327
Canmore,16629,17341,21826,4.28167658909135,25.8635603483075
Sylvan Lake,16597,17897,23496,7.83274085678135,31.2845728334358
Cold Lake,16345,17798,26292,8.88956867543591,47.7244634228565
Brooks,15436,17537,30193,13.6110391293081,72.1674174602269
Leduc County,14886,16400,25279,10.1706301222625,54.140243902439
Strathmore,14831,16416,22499,10.6870743712494,37.0553118908382
High River,14740,15508,18829,5.21031207598372,21.4147536755223
Lacombe,13827,14733,19035,6.55239748318507,29.1997556505803
Mountain View County,13368,14802,19627,10.7271095152603,32.5969463586002
Mackenzie County,13279,14488,24679,9.10460125009413,70.3409718387631
Bonnyville No. 87,13250,13265,11004,0.113207547169811,-17.0448548812665
Wetaskiwin,12957,13703,17856,5.75750559543104,30.3072319929942
Clearwater County,12216,11856,7906,-2.94695481335953,-33.3164642375169
Lac Ste. Anne County,11629,12639,17472,8.68518359274228,38.2387847139805
Wetaskiwin County No. 10,11514,12117,18855,5.23710265763418,55.6078237187423
Blackfalds,11084,12258,17757,10.591844099603,44.8604992657856
Morinville,10753,10763,10660,0.0929973030782107,-0.956982254018396
Yellowhead County,10722,10966,9336,2.27569483305353,-14.8641254787525
Lacombe County,10598,11072,12565,4.47254198905454,13.4844653179191
Lethbridge County,10463,10988,12803,5.01768135334034,16.5180196578085
Ponoka County,10314,10670,11691,3.45161915842544,9.5688847235239
Whitecourt,10308,10708,11073,3.88048117966628,3.40866641763168
Hinton,10170,10124,9487,-0.452310717797443,-6.29197945476096
Olds,9473,9653,9584,1.90013723213343,-0.714803687972651
Taber,9177,10175,16822,10.875013621009,65.3267813267813
Coaldale,9073,9644,12682,6.29339799404827,31.5014516798009
Wheatland County,8997,10150,14191,12.8153829054129,39.8128078817734
Greenview No. 16,8868,8984,7933,1.30807397383852,-11.6985752448798
Camrose County,8746,8951,7700,2.34392865309856,-13.9760920567534
Edson,8655,8692,9281,0.427498555748122,6.77634606534744
Banff,8574,11402,19333,32.9834383018428,69.5579722855639
Lac la Biche County,8365,8580,8067,2.57023311416617,-5.97902097902098
Vermilion River County,8272,8282,6484,0.120889748549323,-21.7097319488046
Innisfail,8224,8736,11643,6.22568093385214,33.2760989010989
Drumheller,8176,8439,8935,3.21673189823875,5.87747363431686
Cypress County,7751,7855,7100,1.34176235324474,-9.61171228516868
Taber,7697,8009,16822,4.05352734831753,110.038706455238
Newell County,7669,7846,8824,2.30799321945495,12.464950293143
Ponoka,7559,8212,11765,8.63870882391851,43.2659522649781
Drayton Valley,7545,8047,11037,6.65341285619616,37.156704361874
Brazeau County,7410,7685,6745,3.71120107962213,-12.2316200390371
Westlock County,7385,7556,8218,2.31550440081246,8.76124933827422
Athabasca County,7153,7280,5577,1.77547882007549,-23.3928571428571
Slave Lake,7109,7334,8413,3.16500211000141,14.7122988819198
Rocky Mountain House,6993,8144,14859,16.4593164593165,82.4533398821218
Wainwright,6860,6996,7525,1.98250728862974,7.56146369353917
Peace River,6853,7220,9884,5.35531883846491,36.8975069252078
Devon,6740,6965,8263,3.33827893175074,18.6360373295047
Bonnyville,6624,7366,12863,11.201690821256,74.6266630464295
St. Paul County No. 19,6477,6462,6517,-0.231588698471515,0.851129681213247
Willow Creek No. 26,6254,6225,5678,-0.463703229932843,-8.78714859437751
St. Paul,6052,6218,7126,2.7428949107733,14.6027661627533
Barrhead County No. 11,6047,6186,6014,2.29866049280635,-2.78047203362431
Beaver County,6044,6245,7066,3.32561217736598,13.146517213771
Crowsnest Pass,5880,6011,5960,2.22789115646259,-0.848444518382965
Vegreville,5848,6153,7216,5.21545827633379,17.2761254672517
Stettler,5846,6035,6310,3.2329798152583,4.55675227837614
Stettler County No. 6,5831,5966,5154,2.31521179900532,-13.6104592691921
Redcliff,5768,5916,5679,2.56588072122053,-4.00608519269777
Didsbury,5219,5185,4429,-0.651465798045603,-14.5805207328833
Big Lakes County,5132,5106,3087,-0.506625097427903,-39.5417156286722
Kneehill County,5064,5129,4853,1.28357030015798,-5.38116591928251
Carstairs,5055,5248,7253,3.81800197823937,38.2050304878049
Westlock,5053,5363,7192,6.13496932515337,34.1040462427746
Cardston County,4987,4938,4329,-0.98255464206938,-12.3329283110571
Jasper,4933,4627,3007,-6.20312183255625,-35.011886751675
Blood 148,4712,4404,2627,-6.5365025466893,-40.3496821071753
Woodlands County,4691,4778,4183,1.85461522063526,-12.4529091670155
Wainwright No. 61,4590,4576,3625,-0.305010893246187,-20.7823426573427
Barrhead,4437,4768,5744,7.45999549244985,20.4697986577181
Warner County No. 5,4423,4533,5950,2.48699977390911,31.2596514449592
Vulcan County,4400,4465,5636,1.47727272727273,26.2262038073908
Raymond,4334,4594,7855,5.99907706506691,70.9838920330866
Northern Lights County,4248,4115,3048,-3.13088512241055,-25.9295261239368
Vermilion,4078,4192,4638,2.79548798430603,10.6393129770992
High Level,4051,4390,8166,8.3683041224389,86.0136674259681
Smoky Lake County,3983,4043,3534,1.50640220938991,-12.5896611427158
Saddle Lake 125,3912,3871,3072,-1.0480572597137,-20.6406613278223
Claresholm,3895,4242,4999,8.90885750962773,17.8453559641678
Lamont County,3855,3918,5952,1.63424124513619,51.9142419601838
Cardston,3822,3863,5146,1.0727367870225,33.2125291224437
Flagstaff County,3794,3724,2707,-1.8450184501845,-27.3093447905478
Pincher Creek,3728,3890,4340,4.34549356223176,11.5681233933162
Crossfield,3727,4075,7110,9.33726858062785,74.478527607362
Forty Mile County No. 8,3725,3927,5180,5.42281879194631,31.9073083778966
Siksika 146,3688,3645,3652,-1.16594360086768,0.192043895747599
Penhold,3640,3812,4586,4.72527472527473,20.3043022035677
Two Hills County No. 21,3514,3626,3838,3.18725099601594,5.84666298952013
Opportunity No. 17,3500,3592,4605,2.62857142857143,28.2015590200445
Fort Macleod,3402,3945,8383,15.9611992945326,112.496831432193
Samson 137,3365,3427,3156,1.84249628528975,-7.9077910709075
Gibbons,3332,3352,3936,0.600240096038415,17.4224343675418
Pincher Creek No. 9,3329,3176,2442,-4.59597476719736,-23.1108312342569
Three Hills,3264,3502,4732,7.29166666666667,35.1227869788692
Thorhild County,3128,3147,2914,0.607416879795396,-7.40387670797585
Minburn County No. 27,3102,3142,2801,1.28949065119278,-10.852959898154
Clear Hills,3100,3110,2759,0.32258064516129,-11.2861736334405
Coalhurst,2994,3244,4470,8.3500334001336,37.7928483353884
Lesser Slave River No. 124,2941,2980,2765,1.32607956477389,-7.21476510067114
Fairview,2912,2918,3241,0.206043956043956,11.0692254969157
Athabasca,2842,2887,2580,1.58339197748065,-10.6338759958434
